hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
City Hotel,65,2016,December,50,4,2,2,2,0.0,0,BB,GRC,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,68.0,0,1,Check-Out,2016-12-08,Austin Duncan,AustinDuncan69@zoho.com,904-259-4862,************7480
Resort Hotel,3,2017,January,4,27,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,,0,Transient,45.0,0,1,Check-Out,2017-01-28,Adrian Torres,Adrian_T@att.com,189-011-9785,************1622
Resort Hotel,358,2017,July,30,29,4,6,2,2.0,0,HB,GBR,Online TA,TA/TO,0,0,0,G,G,2,No Deposit,240.0,,0,Transient,266.6,0,0,Canceled,2016-11-24,Steven Carter,Steven.Carter13@att.com,944-841-9067,************2403
City Hotel,317,2017,June,23,10,2,2,2,2.0,0,BB,SVN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,181.8,0,1,Canceled,2016-10-19,Christopher Alvarado,Christopher.Alvarado@protonmail.com,395-587-5081,************4735
City Hotel,0,2017,June,23,4,1,0,1,0.0,0,BB,PRT,Aviation,Corporate,0,0,0,A,A,0,No Deposit,,153.0,0,Transient,95.0,0,2,Canceled,2017-06-04,Theresa Henry,Theresa_H@aol.com,854-828-7657,************7721
Resort Hotel,71,2016,December,53,29,1,3,2,1.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,2,No Deposit,,,0,Transient,154.69,0,1,Check-Out,2017-01-02,Roy Phillips,Roy.P@verizon.com,915-345-6857,************1918
City Hotel,102,2016,June,24,5,1,0,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,1,A,A,0,No Deposit,1.0,,0,Transient-Party,12.0,0,1,Check-Out,2016-06-06,Desiree Johnson,DJohnson@aol.com,250-485-5183,************4890
City Hotel,1,2017,May,18,2,0,2,1,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,133.0,0,1,Check-Out,2017-05-04,John Gordon,Gordon.John36@zoho.com,360-588-0424,************7868
City Hotel,68,2016,June,25,18,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.83,0,0,Canceled,2016-05-14,Daniel Williamson,DWilliamson@mail.com,288-947-2704,************6766
City Hotel,276,2015,July,30,20,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2015-07-02,Paul Gould,Paul.Gould@att.com,243-849-6701,************5165
City Hotel,573,2017,February,5,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-10-21,Yesenia Martinez,YeseniaMartinez94@comcast.net,863-667-3648,************6996
City Hotel,183,2016,October,42,11,0,1,1,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.1,0,0,Canceled,2016-10-07,Raymond Munoz,RMunoz43@gmail.com,913-918-0018,************3358
City Hotel,393,2016,March,12,19,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.8,0,0,Canceled,2016-03-02,Derek Velasquez,DerekVelasquez@yandex.com,899-191-6075,************3259
City Hotel,41,2016,December,53,27,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,E,0,No Deposit,,,0,Transient-Party,69.29,0,0,Canceled,2016-12-23,Dr. Anthony Smith,Dr.Smith@att.com,483-143-6555,************7105
Resort Hotel,14,2017,July,30,27,1,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Transient,116.5,0,0,Check-Out,2017-07-31,Dr. Jacob Carrillo,Carrillo.Dr.@comcast.net,272-826-4107,************1066
City Hotel,7,2017,February,9,26,2,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,69.77,0,0,Check-Out,2017-03-04,Jeff Horton,Jeff_Horton@att.com,187-488-1480,************3691
City Hotel,165,2017,March,9,4,2,2,3,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,119.0,0,1,Canceled,2017-02-19,Mackenzie Davis,Mackenzie_Davis27@mail.com,508-139-7364,************8729
City Hotel,105,2016,April,17,17,2,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient-Party,96.3,0,0,Check-Out,2016-04-20,Bryce Mccarthy,Mccarthy.Bryce@xfinity.com,253-751-1018,************1643
Resort Hotel,8,2015,December,51,17,2,3,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,F,0,No Deposit,171.0,,0,Transient,57.0,0,0,Check-Out,2015-12-22,Danielle Harper,Danielle.H91@outlook.com,428-532-0906,************5319
City Hotel,7,2017,April,15,13,1,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,157.5,0,2,Check-Out,2017-04-17,Juan Rowland,Rowland.Juan@comcast.net,208-055-4983,************4967
City Hotel,47,2016,March,12,16,0,2,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,76.5,0,0,Canceled,2016-02-20,Sarah Collins,Collins.Sarah@aol.com,257-681-7618,************1847
Resort Hotel,1,2016,May,20,11,0,1,1,0.0,0,BB,,Corporate,Corporate,0,0,16,A,E,0,No Deposit,,204.0,0,Transient,50.0,0,0,Check-Out,2016-05-12,Joseph Bender,Joseph_Bender75@verizon.com,125-571-8017,************7514
City Hotel,93,2016,April,15,6,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.5,0,0,Canceled,2016-01-04,Robert Patterson,Patterson.Robert49@hotmail.com,320-124-9065,************7592
Resort Hotel,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,493.0,,0,Contract,80.0,0,0,Check-Out,2017-04-16,Brad Carr,Brad_C28@mail.com,159-105-1965,************3401
City Hotel,199,2017,April,17,23,2,5,2,0.0,0,HB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,164.7,0,2,Canceled,2017-04-23,Dustin Andrews,Dustin_Andrews@hotmail.com,635-526-1035,************7325
City Hotel,41,2016,March,12,13,2,1,2,0.0,0,BB,POL,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,,193.0,0,Transient-Party,85.67,0,0,Check-Out,2016-03-16,Bailey Morton DDS,BaileyDDS91@aol.com,975-068-0381,************7072
Resort Hotel,100,2015,July,28,11,2,3,2,1.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,149.0,,0,Transient,153.96,0,0,Canceled,2015-05-29,Kimberly Olson,Kimberly.Olson@xfinity.com,995-876-8158,************7967
City Hotel,36,2016,October,41,6,0,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,15.0,,0,Transient,144.0,0,0,Check-Out,2016-10-09,Tristan Ramirez,Tristan_R@xfinity.com,715-291-1912,************1716
City Hotel,157,2016,June,25,14,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,132.9,0,1,Check-Out,2016-06-17,Amy Rodriguez,Amy_R81@protonmail.com,372-448-6715,************8255
City Hotel,283,2016,October,43,16,2,0,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,96.0,0,0,Canceled,2016-02-09,Alexandra Greene,AGreene@xfinity.com,985-434-2638,************2272
Resort Hotel,101,2016,July,30,20,0,4,3,0.0,0,HB,CN,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,257.0,1,3,Check-Out,2016-07-24,Shannon Allen,Allen_Shannon38@yandex.com,643-282-0521,************6794
City Hotel,63,2016,July,30,18,1,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,137.7,0,2,Check-Out,2016-07-20,Evelyn Sanders,Sanders_Evelyn@xfinity.com,569-784-4435,************1269
Resort Hotel,24,2017,February,6,11,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,1,No Deposit,171.0,,0,Transient,50.0,0,0,Check-Out,2017-02-12,Dr. Caleb Garcia,Dr..Garcia@hotmail.com,905-642-7513,************1703
City Hotel,1,2016,February,8,14,2,2,2,1.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,,,0,Transient,112.0,0,2,Check-Out,2016-02-18,Angelica Williamson,Angelica_W@gmail.com,897-101-4992,************5222
Resort Hotel,270,2017,June,26,25,4,10,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,143.0,,0,Transient,84.7,0,1,Canceled,2016-10-17,Jay Austin,JAustin14@comcast.net,205-986-9694,************9512
City Hotel,48,2017,July,28,10,1,2,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,168.0,,0,Transient,80.1,0,0,Check-Out,2017-07-13,Jonathan Osborne,Jonathan_Osborne60@yandex.com,846-552-4721,************2922
City Hotel,65,2015,September,36,5,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2015-07-25,Michelle Barr,MBarr@zoho.com,220-103-9379,************9263
Resort Hotel,1,2016,May,22,22,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,89.0,1,1,Check-Out,2016-05-23,Judy Massey,Judy.Massey41@xfinity.com,194-675-6562,************3144
City Hotel,44,2016,September,39,20,0,4,2,0.0,0,BB,IRN,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,157.0,,0,Transient,101.52,0,0,Check-Out,2016-09-24,Joseph Holmes,Joseph_Holmes95@mail.com,186-386-5420,************4452
Resort Hotel,104,2017,July,28,11,1,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,203.0,0,1,Check-Out,2017-07-17,Kiara Pearson,Pearson_Kiara@verizon.com,276-811-8159,************4593
City Hotel,135,2015,December,49,5,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Check-Out,2015-12-08,William Nelson,WilliamNelson@aol.com,243-851-1479,************3037
City Hotel,0,2016,May,21,17,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,12.0,0,0,Canceled,2016-05-17,Nicholas Johnson,Nicholas_J@xfinity.com,860-389-7645,************3145
City Hotel,57,2016,June,23,2,0,2,2,0.0,0,HB,CHN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,157.14,0,1,No-Show,2016-06-02,Peter Miller,PMiller@zoho.com,447-270-1342,************4495
City Hotel,135,2015,September,38,14,1,2,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,90.0,0,0,Check-Out,2015-09-17,Whitney Harris,WhitneyHarris@protonmail.com,233-505-3269,************2049
City Hotel,44,2017,June,23,9,3,7,2,0.0,1,HB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,225.0,0,1,Check-Out,2017-06-19,James West,JamesWest@outlook.com,351-102-3347,************4902
City Hotel,305,2017,May,20,15,1,0,2,0.0,0,SC,AUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,3,Check-Out,2017-05-16,Debra Lewis,Lewis_Debra98@att.com,904-284-6979,************7991
City Hotel,5,2016,December,53,28,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Transient,84.8,0,0,Check-Out,2016-12-29,Oscar Nichols,ONichols89@verizon.com,369-512-4173,************3676
City Hotel,53,2017,March,13,30,0,3,1,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,88.01,0,1,Check-Out,2017-04-02,Pamela Cobb,PamelaCobb@zoho.com,889-086-8941,************3395
Resort Hotel,468,2016,May,20,12,0,2,2,0.0,0,HB,FRA,Groups,TA/TO,0,0,0,A,F,0,No Deposit,249.0,,0,Transient-Party,67.0,0,1,Check-Out,2016-05-14,Denise Thompson,DThompson@zoho.com,579-985-2815,************6600
City Hotel,104,2017,July,30,23,2,2,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,204.0,1,2,Check-Out,2017-07-27,Adam Parks,Adam.Parks@hotmail.com,643-099-5790,************9900
City Hotel,132,2017,April,14,3,3,8,2,0.0,0,BB,URY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.82,0,0,Canceled,2016-11-23,Terri Miller,Miller.Terri@zoho.com,945-946-6178,************7615
City Hotel,80,2016,September,40,25,2,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.9,0,0,Check-Out,2016-09-29,Kyle Dunn,Kyle.D91@hotmail.com,535-405-8885,************5961
City Hotel,43,2017,April,13,1,1,1,2,2.0,0,BB,CZE,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,230.0,0,0,Canceled,2017-03-26,Robert Thomas,RobertThomas@verizon.com,913-972-3153,************3271
City Hotel,189,2017,May,18,5,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,100.0,0,0,Canceled,2017-03-10,Nicole Oconnell,Oconnell.Nicole@att.com,143-677-9689,************9279
Resort Hotel,1,2016,May,21,17,0,2,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,331.0,0,Transient-Party,63.0,0,0,Check-Out,2016-05-19,Brenda Barnett,Barnett.Brenda@xfinity.com,227-538-0626,************7378
City Hotel,6,2017,February,6,9,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,91.8,0,1,Check-Out,2017-02-16,Abigail Keller,Abigail_K32@protonmail.com,920-094-6968,************5747
City Hotel,14,2016,January,5,28,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,80.0,0,0,Check-Out,2016-01-29,Melissa Lewis,MelissaLewis29@zoho.com,254-556-3167,************1584
City Hotel,143,2016,August,35,26,2,2,2,0.0,0,BB,GEO,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.3,0,0,Canceled,2016-08-25,Reginald Lee,Lee.Reginald58@yandex.com,121-617-9045,************7587
City Hotel,322,2017,May,18,5,0,1,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,21.0,,0,Transient-Party,64.5,0,0,Check-Out,2017-05-06,Joseph Lopez,Joseph_Lopez@att.com,101-802-5213,************8976
City Hotel,12,2016,September,38,11,1,0,1,0.0,0,BB,CHN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,295.0,,0,Transient-Party,85.0,0,1,Check-Out,2016-09-12,Gabriel Smith,Gabriel_S@xfinity.com,912-687-9999,************4857
Resort Hotel,90,2016,April,15,5,0,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,81.2,0,1,Check-Out,2016-04-08,Casey Sparks,Casey_Sparks@outlook.com,217-527-3597,************6863
City Hotel,2,2016,February,8,14,2,5,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,138.0,,0,Transient,55.74,0,0,Check-Out,2016-02-21,Catherine Ruiz,CatherineRuiz@outlook.com,202-812-4633,************8993
Resort Hotel,1,2016,March,11,7,1,0,1,0.0,0,BB,ESP,Direct,Direct,0,0,0,A,D,0,No Deposit,250.0,,0,Transient-Party,40.0,0,0,Check-Out,2016-03-08,Mr. Timothy Murphy,Mr._M69@outlook.com,746-577-5615,************8678
City Hotel,224,2015,October,40,2,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3.0,,0,Transient-Party,65.0,0,0,Check-Out,2015-10-05,Amanda Thompson,AmandaThompson@mail.com,419-307-4168,************1143
City Hotel,201,2016,July,30,21,0,1,0,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,B,A,0,No Deposit,9.0,,0,Transient-Party,86.5,0,0,Check-Out,2016-07-22,Kristina Williams,Kristina.Williams@mail.com,886-336-7863,************8010
Resort Hotel,33,2016,April,17,18,1,4,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,241.0,,0,Transient,63.75,0,0,Check-Out,2016-04-23,Brittany Garza,Garza_Brittany36@zoho.com,562-803-6380,************4586
City Hotel,158,2017,July,26,1,1,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.1,0,0,Canceled,2017-02-14,Breanna Mcgee,Breanna_Mcgee@mail.com,145-067-2411,************7544
Resort Hotel,18,2016,October,42,11,0,1,2,0.0,0,BB,GBR,Direct,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient,74.0,0,1,Check-Out,2016-10-12,Danielle Stevenson,Danielle.S@yandex.com,808-526-7540,************2746
Resort Hotel,46,2016,May,20,8,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,242.0,,0,Transient,95.0,0,0,Canceled,2016-04-29,Zachary Johnson,Zachary.J@zoho.com,387-207-1958,************3742
City Hotel,23,2017,August,32,8,1,5,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,0,0,Check-Out,2017-08-14,Michael Hutchinson,MichaelHutchinson@mail.com,218-689-8180,************1412
City Hotel,235,2017,May,21,26,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,107.1,0,1,Canceled,2017-01-05,Miguel Jefferson,MJefferson@comcast.net,628-095-1869,************7752
City Hotel,34,2016,March,12,18,0,2,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,162.45,0,0,Canceled,2016-02-13,David Woods,David.W@hotmail.com,816-334-1506,************1811
City Hotel,320,2016,August,34,18,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2016-08-20,Kimberly Andrade,Kimberly.A@aol.com,220-672-5548,************5525
Resort Hotel,79,2015,October,44,29,0,2,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,46.5,1,1,Check-Out,2015-10-31,Alice Stewart,Alice_S@mail.com,257-662-8172,************1103
Resort Hotel,16,2017,January,4,27,1,2,1,0.0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,,,0,Transient,35.0,0,0,Check-Out,2017-01-30,Eric Ware,EricWare55@protonmail.com,615-257-7999,************3886
City Hotel,36,2016,September,40,28,0,3,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,87.0,0,0,Check-Out,2016-10-01,Joseph Hicks,Hicks.Joseph76@gmail.com,912-722-0861,************7761
Resort Hotel,3,2015,November,48,28,0,1,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,29.0,0,1,Check-Out,2015-11-29,Brian Gray,Brian.G@comcast.net,945-837-7634,************3549
City Hotel,16,2016,February,8,14,2,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,104.0,1,3,Check-Out,2016-02-16,Craig Hardin,Craig_H@att.com,226-651-7458,************3873
City Hotel,20,2017,March,11,13,1,2,1,0.0,0,BB,FRA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,254.0,,0,Transient-Party,153.67,0,0,Check-Out,2017-03-16,Nicholas Stephens,Stephens.Nicholas@zoho.com,680-570-9160,************4527
City Hotel,61,2015,October,44,26,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,72.24,0,1,Canceled,2015-09-21,Tracey Wilkinson,Tracey.Wilkinson@hotmail.com,501-045-2755,************1188
City Hotel,0,2017,January,1,2,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,115.0,0,0,Check-Out,2017-01-03,Matthew Evans,MatthewEvans@verizon.com,209-233-5209,************1397
City Hotel,0,2015,August,33,10,1,0,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,75.0,0,0,Check-Out,2015-08-11,Tina Flores,Tina_F34@gmail.com,633-144-1224,************6777
City Hotel,74,2016,March,11,10,0,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,89.3,0,1,Check-Out,2016-03-13,Melinda Melton,MelindaMelton36@yahoo.com,634-864-7452,************5066
City Hotel,58,2016,February,10,29,3,7,1,0.0,0,BB,RWA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,66.45,0,1,Check-Out,2016-03-10,Jennifer Fisher,JFisher@comcast.net,637-838-4236,************7114
Resort Hotel,123,2015,November,47,20,1,2,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,66.0,0,2,Canceled,2015-10-13,Tim Wright,Wright_Tim@att.com,215-842-4325,************8442
City Hotel,248,2016,May,22,26,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,B,0,No Deposit,9.0,,0,Contract,118.0,0,0,Check-Out,2016-05-28,Sarah Villanueva,SVillanueva@hotmail.com,608-892-7483,************3480
Resort Hotel,236,2016,May,20,12,0,3,2,0.0,0,BB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315.0,,0,Transient-Party,48.0,0,0,Check-Out,2016-05-15,Andrew Barrett,Andrew.B48@gmail.com,523-912-2568,************8374
Resort Hotel,74,2017,February,7,18,1,1,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,498.0,0,Transient-Party,40.0,0,0,Canceled,2017-02-01,Denise Rose,Rose_Denise75@hotmail.com,653-377-7585,************7691
City Hotel,66,2017,May,20,17,0,2,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,144.0,0,0,Canceled,2017-03-24,Nathan Santana,Nathan_Santana@zoho.com,747-150-4391,************4508
City Hotel,4,2016,February,7,13,0,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,81.0,0,0,Check-Out,2016-02-14,Richard Perry,Perry.Richard@gmail.com,801-644-4526,************8689
City Hotel,20,2016,July,28,5,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,160.0,1,1,Check-Out,2016-07-06,Jessica Rivers,Jessica_R@xfinity.com,903-989-1482,************1183
Resort Hotel,81,2017,July,27,2,2,0,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,250.0,0,1,Check-Out,2017-07-04,Michelle Fleming,Michelle_F@att.com,731-954-3384,************2321
Resort Hotel,199,2017,August,33,15,2,6,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,112.45,0,0,Check-Out,2017-08-23,James Riley,JRiley@yahoo.com,448-039-1201,************6969
City Hotel,177,2017,January,3,19,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.0,0,1,Canceled,2016-10-12,Laura Armstrong,Laura_A@outlook.com,450-191-9934,************1659
City Hotel,113,2017,August,32,8,4,10,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,125.0,0,1,Check-Out,2017-08-22,Michael Jimenez,Michael_J30@yahoo.com,758-354-3087,************6806
City Hotel,2,2016,December,52,21,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,E,E,1,No Deposit,,51.0,0,Transient,105.0,0,0,Check-Out,2016-12-22,Jose Shah,JShah@zoho.com,424-319-1915,************3231
Resort Hotel,287,2015,October,42,15,1,3,2,0.0,0,BB,GBR,Groups,Corporate,0,0,0,A,A,0,No Deposit,,223.0,0,Transient-Party,44.5,0,0,Check-Out,2015-10-19,Elaine Brown,Elaine.Brown@zoho.com,272-230-2440,************8120
City Hotel,300,2015,August,33,13,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Contract,62.0,0,0,Canceled,2015-01-01,Renee Zuniga,RZuniga33@zoho.com,500-561-6566,************7394
Resort Hotel,134,2016,October,43,17,2,5,2,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,100.0,0,2,Check-Out,2016-10-24,Victoria Kim,VKim@att.com,860-842-1721,************9828
City Hotel,277,2016,November,46,7,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2016-04-04,Brooke Bennett,Bennett_Brooke@verizon.com,377-593-3301,************4326
Resort Hotel,13,2016,March,13,21,1,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,,0,Transient-Party,45.0,0,0,Check-Out,2016-03-24,Derrick Meza,Derrick.M22@hotmail.com,267-583-7904,************2319
Resort Hotel,0,2016,June,25,18,0,1,2,0.0,0,BB,AGO,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,112.5,0,0,Check-Out,2016-06-19,Daniel Garza,Daniel.G@comcast.net,503-613-7850,************1435
City Hotel,3,2016,December,51,12,1,0,1,0.0,0,SC,ESP,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,,0,Transient,68.0,0,0,Canceled,2016-12-12,Jason Brown,JasonBrown@gmail.com,461-864-7785,************7319
City Hotel,58,2016,December,51,15,0,3,2,0.0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2016-10-18,Terry Ortega,TerryOrtega96@verizon.com,406-500-2354,************1439
